,Incident number,Date and time,Location,Duration,Attending Stations/Brigades,Result,Day
0,F3900946,24/01/2024 00:23:30,WOBURN LOWER HUTT CITY,00:16:46,"Seaview, Avalon",7100: FALSE ALARM (STRU),Wednesday
1,F3900949,24/01/2024 00:36:15,ONEKAWA NAPIER CITY,00:00:00,Napier,1200: MOBILE PROPERTY FIRE (STRU),Wednesday
2,F3900964,24/01/2024 01:37:01,THORNDON WELLINGTON CITY,00:22:43,"Thorndon, Wellington City, Karori, Johnsonville",7100: FALSE ALARM (SPRNKLR),Wednesday
3,F3900965,24/01/2024 01:44:24,TURITEA PALMERSTON NORTH CITY,00:16:35,Palmerston North,7100: FALSE ALARM (STRU),Wednesday
4,F3900968,24/01/2024 02:04:57,SOLWAY MASTERTON DISTRICT,00:00:00,Masterton,7100: FALSE ALARM (STRU),Wednesday
5,F3900970,24/01/2024 02:08:37,NAENAE LOWER HUTT CITY,00:18:14,Avalon,7100: FALSE ALARM (STRU),Wednesday
6,F3900975,24/01/2024 02:31:09,WHANGANUI EAST WHANGANUI DISTRICT,00:00:00,Whanganui,1500: MISCELLANEOUS FIRE (MIN),Wednesday
7,F3900978,24/01/2024 02:58:27,WELLINGTON CENTRAL WELLINGTON CITY,00:00:00,"Wellington City, Brooklyn","3100: RESCUE,EMERGENCY,MEDICAL CALL (RESC)",Wednesday
8,F3900999,24/01/2024 06:05:20,AUROA SOUTH TARANAKI DISTRICT,00:35:43,"Kaponga, Manaia",9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MVCRESC),Wednesday
9,F3901000,24/01/2024 06:07:12,TE HORO BEACH KAPITI COAST DISTRICT,00:00:00,"Te Horo, Otaki",1300: VEGETATION FIRE (MIN),Wednesday
10,F3901005,24/01/2024 06:32:52,TAITA LOWER HUTT CITY,00:00:00,Avalon,1500: MISCELLANEOUS FIRE (MIN),Wednesday
11,F3901014,24/01/2024 07:11:01,KELSON LOWER HUTT CITY,00:15:48,Avalon,"1400: CHEMICAL, FLAMMABLE LIQUID, GAS FIRE (HAZGAS)",Wednesday
12,F3901017,24/01/2024 07:31:32,NEWTOWN WELLINGTON CITY,00:14:22,"Newtown, Wellington City, Kilbirnie",7100: FALSE ALARM (SPRNKLR),Wednesday
13,F3901023,24/01/2024 07:41:59,WELLINGTON CENTRAL WELLINGTON CITY,00:16:52,"Thorndon, Karori, Brooklyn",7100: FALSE ALARM (STRU),Wednesday
14,F3901024,24/01/2024 07:43:14,PIRINOA SOUTH WAIRARAPA DISTRICT,00:00:00,Martinborough,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MEDFR)",Wednesday
15,F3901028,24/01/2024 07:49:54,AOKAUTERE PALMERSTON NORTH CITY,00:00:00,Ashhurst,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MVC),Wednesday
16,F3901042,24/01/2024 08:14:10,THORNDON WELLINGTON CITY,00:17:04,"Thorndon, Wellington City, Karori",7100: FALSE ALARM (SPRNKLR),Wednesday
17,F3901046,24/01/2024 08:25:32,KARORI WELLINGTON CITY,00:11:51,"Karori, Johnsonville",7100: FALSE ALARM (STRU),Wednesday
18,F3901048,24/01/2024 08:27:32,HASTINGS HASTINGS DISTRICT,00:12:49,Hastings,7100: FALSE ALARM (STRU),Wednesday
19,F3901064,24/01/2024 08:51:29,NEWTOWN WELLINGTON CITY,00:13:13,"Newtown, Brooklyn",7100: FALSE ALARM (HAZGAS),Wednesday
20,F3901073,24/01/2024 09:05:36,PARAITE NEW PLYMOUTH DISTRICT,00:00:00,New Plymouth,1300: VEGETATION FIRE (MIN),Wednesday
21,F3901082,24/01/2024 09:11:08,JOHNSONVILLE WELLINGTON CITY,00:00:00,Johnsonville,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN),Wednesday
22,F3901087,24/01/2024 09:18:04,STRANDON NEW PLYMOUTH DISTRICT,00:16:00,New Plymouth,7100: FALSE ALARM (STRU),Wednesday
23,F3901109,24/01/2024 09:37:56,TIROHANGA LOWER HUTT CITY,00:00:00,Avalon,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MVC),Wednesday
24,F3901117,24/01/2024 09:42:01,NEWTOWN WELLINGTON CITY,00:00:00,Newtown,1500: MISCELLANEOUS FIRE (MIN),Wednesday
25,F3901120,24/01/2024 09:45:38,TITAHI BAY PORIRUA CITY,00:00:00,"Titahi Bay, Porirua","3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)",Wednesday
26,F3901131,24/01/2024 09:52:04,CARTERTON CARTERTON DISTRICT,00:12:59,Carterton,1500: MISCELLANEOUS FIRE (MIN),Wednesday
27,F3901166,24/01/2024 10:24:53,MIRAMAR WELLINGTON CITY,00:00:00,Kilbirnie,1200: MOBILE PROPERTY FIRE (MIN),Wednesday
28,F3901182,24/01/2024 10:35:50,NEW PLYMOUTH NEW PLYMOUTH DISTRICT,00:04:43,New Plymouth,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MIN)",Wednesday
29,F3901188,24/01/2024 10:31:40,WHANGANUI WHANGANUI DISTRICT,00:00:00,Whanganui,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN),Wednesday
30,F3901192,24/01/2024 10:43:28,FAIRFIELD LOWER HUTT CITY,00:16:57,Avalon,7100: FALSE ALARM (SPRNKLR),Wednesday
31,F3901196,24/01/2024 10:47:57,NEWTOWN WELLINGTON CITY,00:21:42,"Newtown, Wellington City, Thorndon, Brooklyn",7100: FALSE ALARM (STRU),Wednesday
32,F3901225,24/01/2024 11:08:56,STRATFORD STRATFORD DISTRICT,00:00:00,Stratford,7100: FALSE ALARM (STRU),Wednesday
33,F3901276,24/01/2024 12:27:52,WAITAHORA TARARUA DISTRICT,00:00:00,Dannevirke,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MVCRESC),Wednesday
34,F3901286,24/01/2024 12:49:29,WHANGANUI WHANGANUI DISTRICT,00:00:00,Whanganui,1500: MISCELLANEOUS FIRE (MIN),Wednesday
35,F3901352,24/01/2024 14:00:34,HALCOMBE MANAWATU DISTRICT,00:23:36,RNZAF Base Ohakea F6056,7100: FALSE ALARM (STRU),Wednesday
36,F3901373,24/01/2024 14:30:03,OKOIA WHANGANUI DISTRICT,00:00:00,"Whanganui, Koitiata, Rangitikei",,Wednesday
37,F3901422,24/01/2024 15:17:48,HURWORTH NEW PLYMOUTH DISTRICT,00:00:00,New Plymouth,7100: FALSE ALARM (STRU),Wednesday
38,F3901423,24/01/2024 15:20:18,OPAKI MASTERTON DISTRICT,00:00:00,"Masterton, Mauriceville",1300: VEGETATION FIRE (VEG),Wednesday
39,F3901442,24/01/2024 15:50:44,CAMBERLEY HASTINGS DISTRICT,04:06:43,"Hastings, Napier OSU",1100: STRUCTURE FIRE (STRU),Wednesday
40,F3901458,24/01/2024 15:59:30,TE ARO WELLINGTON CITY,00:00:00,"Thorndon, Wellington City, Brooklyn","1400: CHEMICAL, FLAMMABLE LIQUID, GAS FIRE (HAZGAS)",Wednesday
41,F3901465,24/01/2024 16:06:18,HURWORTH NEW PLYMOUTH DISTRICT,00:08:14,New Plymouth,7100: FALSE ALARM (SPRNKLR),Wednesday
42,F3901470,24/01/2024 16:12:46,PETONE LOWER HUTT CITY,00:00:00,Seaview,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)",Wednesday
43,F3901476,24/01/2024 16:19:29,AOKAUTERE PALMERSTON NORTH CITY,00:32:17,"Palmerston North, Pahiatua",1200: MOBILE PROPERTY FIRE (MIN),Wednesday
44,F3901481,24/01/2024 16:26:14,WELLINGTON CENTRAL WELLINGTON CITY,00:10:07,"Thorndon, Wellington City",7100: FALSE ALARM (SPRNKLR),Wednesday
45,F3901500,24/01/2024 16:37:10,TAKAPU VALLEY WELLINGTON CITY,00:00:00,"Johnsonville, Tawa",7100: FALSE ALARM (MIN),Wednesday
46,F3901524,24/01/2024 16:53:23,AORANGI MANAWATU DISTRICT,00:23:34,"Feilding, Milson",7100: FALSE ALARM (SPRNKLR),Wednesday
47,F3901547,24/01/2024 17:12:18,WEST END PALMERSTON NORTH CITY,00:08:28,Palmerston North,7100: FALSE ALARM (STRU),Wednesday
48,F3901553,24/01/2024 17:19:43,WELLINGTON CENTRAL WELLINGTON CITY,00:08:40,"Thorndon, Wellington City",7100: FALSE ALARM (SPRNKLR),Wednesday
49,F3901564,24/01/2024 17:52:31,NEWTOWN WELLINGTON CITY,00:09:11,"Newtown, Wellington City",7100: FALSE ALARM (SPRNKLR),Wednesday
50,F3901567,24/01/2024 18:01:47,PALMERSTON NORTH PALMERSTON NORTH CITY,00:12:49,"Milson, Palmerston North",7100: FALSE ALARM (SPRNKLR),Wednesday
51,F3901569,24/01/2024 18:04:45,TOLAGA BAY GISBORNE DISTRICT,00:43:09,Tolaga Bay,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MEDFR)",Wednesday
52,F3901570,24/01/2024 18:07:25,WAIMARAMA HASTINGS DISTRICT,00:00:00,Waimarama,7100: FALSE ALARM (STRU),Wednesday
53,F3901573,24/01/2024 18:15:46,FEATHERSTON SOUTH WAIRARAPA DISTRICT,00:00:00,Featherston,1500: MISCELLANEOUS FIRE (MIN),Wednesday
54,F3901581,24/01/2024 18:39:04,KAITOKE WHANGANUI DISTRICT,00:31:04,Whanganui,1300: VEGETATION FIRE (VEG),Wednesday
55,F3901583,24/01/2024 18:46:56,PARKVALE CARTERTON DISTRICT,00:18:11,"Carterton, Greytown",1100: STRUCTURE FIRE (STRU),Wednesday
56,F3901592,24/01/2024 18:49:41,HASTINGS HASTINGS DISTRICT,00:00:00,Hastings,1500: MISCELLANEOUS FIRE (MIN),Wednesday
57,F3901606,24/01/2024 19:07:34,MAKARA WELLINGTON CITY,00:23:24,Karori,7100: FALSE ALARM (STRU),Wednesday
58,F3901611,24/01/2024 19:17:29,DYERVILLE SOUTH WAIRARAPA DISTRICT,00:00:00,Martinborough,1300: VEGETATION FIRE (VEG),Wednesday
59,F3901626,24/01/2024 19:47:28,LINTON PALMERSTON NORTH CITY,00:16:01,Palmerston North,7100: FALSE ALARM (STRU),Wednesday
60,F3901632,24/01/2024 20:07:32,PORIRUA CITY CENTRE PORIRUA CITY,00:08:01,Porirua,7100: FALSE ALARM (STRU),Wednesday
61,F3901635,24/01/2024 20:10:03,LEVIN HOROWHENUA DISTRICT,00:18:27,Levin,7100: FALSE ALARM (STRU),Wednesday
62,F3901636,24/01/2024 20:12:50,TOLAGA BAY GISBORNE DISTRICT,01:22:30,Tolaga Bay,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MEDFR)",Wednesday
63,F3901638,24/01/2024 20:26:32,TRENTHAM UPPER HUTT CITY,00:00:00,Trentham,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MIN)",Wednesday
64,F3901650,24/01/2024 21:02:28,CLIVE HASTINGS DISTRICT,00:00:00,"Haumoana, Hastings",1300: VEGETATION FIRE (MIN),Wednesday
65,F3901652,24/01/2024 21:10:40,FEILDING MANAWATU DISTRICT,00:29:17,Feilding,1500: MISCELLANEOUS FIRE (MIN),Wednesday
66,F3901659,24/01/2024 21:24:48,ASHHURST PALMERSTON NORTH CITY,00:00:00,Ashhurst,,Wednesday
67,F3901663,24/01/2024 21:40:12,HIMATANGI MANAWATU DISTRICT,00:00:00,Himatangi Beach,,Wednesday
0,F3900287,23/01/2024 00:53:43,OHAU HOROWHENUA DISTRICT,01:06:33,Levin,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)",Tuesday
1,F3900293,23/01/2024 01:10:48,WHANGANUI EAST WHANGANUI DISTRICT,00:26:00,Whanganui,7100: FALSE ALARM (STRU),Tuesday
2,F3900313,23/01/2024 03:15:36,TARADALE NAPIER CITY,00:22:53,"Taradale, Napier",7100: FALSE ALARM (STRU),Tuesday
3,F3900324,23/01/2024 04:21:17,HAWERA SOUTH TARANAKI DISTRICT,00:32:22,Hawera,7100: FALSE ALARM (STRU),Tuesday
4,F3900329,23/01/2024 05:01:33,KENEPURU PORIRUA CITY,00:12:54,Porirua,7100: FALSE ALARM (STRU),Tuesday
5,F3900333,23/01/2024 05:14:48,KELBURN WELLINGTON CITY,00:17:30,"Karori, Thorndon, Wellington City",7100: FALSE ALARM (STRU),Tuesday
6,F3900336,23/01/2024 05:43:21,ELTHAM SOUTH TARANAKI DISTRICT,00:21:34,Eltham,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCRESC)",Tuesday
7,F3900355,23/01/2024 07:15:07,AWATOTO NAPIER CITY,00:13:47,"Napier, Hastings, Taradale",7100: FALSE ALARM (STRU),Tuesday
8,F3900358,23/01/2024 07:19:20,STRANDON NEW PLYMOUTH DISTRICT,00:00:00,New Plymouth,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN),Tuesday
9,F3900363,23/01/2024 07:34:31,TOMOANA HASTINGS DISTRICT,00:09:43,Hastings,7100: FALSE ALARM (SPRNKLR),Tuesday
10,F3900365,23/01/2024 07:43:55,TE HAPARA GISBORNE DISTRICT,00:12:19,Gisborne,7100: FALSE ALARM (SPRNKLR),Tuesday
11,F3900367,23/01/2024 07:48:31,KENEPURU PORIRUA CITY,00:08:52,"Porirua, Tawa",7100: FALSE ALARM (SPRNKLR),Tuesday
12,F3900369,23/01/2024 07:53:00,ELTHAM SOUTH TARANAKI DISTRICT,00:00:00,Eltham,1100: STRUCTURE FIRE (MIN),Tuesday
13,F3900371,23/01/2024 07:58:41,MILSON PALMERSTON NORTH CITY,00:14:52,"Milson, Palmerston North",7100: FALSE ALARM (STRU),Tuesday
14,F3900383,23/01/2024 08:22:14,NEWLANDS WELLINGTON CITY,00:11:59,"Johnsonville, Karori, Thorndon",7100: FALSE ALARM (STRU),Tuesday
15,F3900384,23/01/2024 08:23:26,WAINUIOMATA LOWER HUTT CITY,00:00:00,"Wainuiomata, Seaview",7100: FALSE ALARM (STRU),Tuesday
16,F3900385,23/01/2024 08:24:28,TITAHI BAY PORIRUA CITY,00:00:00,Porirua,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (EXERCISE),Tuesday
17,F3900392,23/01/2024 08:34:16,TURITEA PALMERSTON NORTH CITY,00:18:38,"Palmerston North, Milson",7100: FALSE ALARM (STRU),Tuesday
18,F3900439,23/01/2024 09:21:19,CASTLECLIFF WHANGANUI DISTRICT,00:27:11,Whanganui,7100: FALSE ALARM (STRU),Tuesday
19,F3900489,23/01/2024 10:14:00,SILVERSTREAM UPPER HUTT CITY,00:23:38,"Trentham, Remutaka",7100: FALSE ALARM (SPRNKLR),Tuesday
20,F3900498,23/01/2024 10:23:32,ROSLYN PALMERSTON NORTH CITY,00:07:37,"Milson, Palmerston North",7100: FALSE ALARM (STRU),Tuesday
21,F3900499,23/01/2024 10:22:29,NEW PLYMOUTH NEW PLYMOUTH DISTRICT,00:08:11,New Plymouth,"1400: CHEMICAL, FLAMMABLE LIQUID, GAS FIRE (MIN)",Tuesday
22,F3900514,23/01/2024 10:42:01,WESTMERE WHANGANUI DISTRICT,00:18:13,Whanganui,7100: FALSE ALARM (STRU),Tuesday
23,F3900528,23/01/2024 10:58:26,LAKE FERRY SOUTH WAIRARAPA DISTRICT,00:00:00,Martinborough,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MEDFR)",Tuesday
24,F3900587,23/01/2024 12:10:59,WHANGANUI WHANGANUI DISTRICT,00:16:22,Whanganui,7100: FALSE ALARM (STRU),Tuesday
25,F3900592,23/01/2024 12:18:32,MAHORA HASTINGS DISTRICT,00:00:00,Hastings,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCRESC)",Tuesday
26,F3900600,23/01/2024 12:31:39,HAWERA SOUTH TARANAKI DISTRICT,00:15:21,Hawera,7100: FALSE ALARM (STRU),Tuesday
27,F3900601,23/01/2024 12:35:25,MAHORA HASTINGS DISTRICT,00:09:11,Hastings,7100: FALSE ALARM (STRU),Tuesday
28,F3900617,23/01/2024 12:56:13,MOUTOA HOROWHENUA DISTRICT,00:00:00,"Levin, Shannon",1200: MOBILE PROPERTY FIRE (MIN),Tuesday
29,F3900620,23/01/2024 13:02:03,FRIMLEY HASTINGS DISTRICT,00:15:26,Hastings,7100: FALSE ALARM (STRU),Tuesday
30,F3900629,23/01/2024 13:10:35,CASTLECLIFF WHANGANUI DISTRICT,00:17:12,Whanganui,7100: FALSE ALARM (STRU),Tuesday
31,F3900636,23/01/2024 13:22:30,FEILDING MANAWATU DISTRICT,00:23:42,"Feilding, Milson",7100: FALSE ALARM (STRU),Tuesday
32,F3900659,23/01/2024 13:47:49,RAUMATI BEACH KAPITI COAST DISTRICT,00:00:00,Paraparaumu,7100: FALSE ALARM (MIN),Tuesday
33,F3900675,23/01/2024 14:00:14,MOUNT COOK WELLINGTON CITY,00:00:00,Brooklyn,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN),Tuesday
34,F3900713,23/01/2024 14:56:51,WAITUNA WEST MANAWATU DISTRICT,00:54:36,Cheltenham,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MVC)",Tuesday
35,F3900728,23/01/2024 15:35:41,TAMATEA NAPIER CITY,00:11:23,Napier,1500: MISCELLANEOUS FIRE (MIN),Tuesday
36,F3900742,23/01/2024 16:03:04,PETONE LOWER HUTT CITY,00:10:35,Seaview,7100: FALSE ALARM (STRU),Tuesday
37,F3900757,23/01/2024 16:26:51,FRIMLEY HASTINGS DISTRICT,00:09:43,Hastings,7100: FALSE ALARM (STRU),Tuesday
38,F3900767,23/01/2024 16:45:32,ORMOND GISBORNE DISTRICT,00:44:29,Gisborne,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCRESC)",Tuesday
39,F3900798,23/01/2024 18:05:25,WHANGANUI EAST WHANGANUI DISTRICT,00:00:00,Whanganui,7100: FALSE ALARM (MIN),Tuesday
40,F3900807,23/01/2024 18:18:23,MANGAPAPA GISBORNE DISTRICT,00:00:00,Gisborne,1500: MISCELLANEOUS FIRE (MIN),Tuesday
41,F3900808,23/01/2024 18:19:18,WAERENGAAHIKA GISBORNE DISTRICT,02:54:06,"Gisborne, Eastland",1100: STRUCTURE FIRE (STRU),Tuesday
42,F3900809,23/01/2024 18:21:13,TERRACE END PALMERSTON NORTH CITY,00:00:00,Milson,7100: FALSE ALARM (MIN),Tuesday
43,F3900823,23/01/2024 18:58:28,WAIOURU RUAPEHU DISTRICT,00:00:00,Waiouru C364,7100: FALSE ALARM (STRU),Tuesday
44,F3900830,23/01/2024 19:05:16,JOHNSONVILLE WELLINGTON CITY,00:00:00,Johnsonville,7100: FALSE ALARM (STRU),Tuesday
45,F3900834,23/01/2024 19:11:29,PALMERSTON NORTH PALMERSTON NORTH CITY,00:00:00,Palmerston North,1500: MISCELLANEOUS FIRE (MIN),Tuesday
46,F3900845,23/01/2024 19:29:09,OTAKI KAPITI COAST DISTRICT,00:00:00,Otaki,7100: FALSE ALARM (SPRNKLR),Tuesday
47,F3900848,23/01/2024 19:30:56,DANNEVIRKE TARARUA DISTRICT,00:14:16,Dannevirke,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (EXERCISE),Tuesday
48,F3900854,23/01/2024 19:43:56,CLOUSTON PARK UPPER HUTT CITY,00:00:00,Remutaka,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)",Tuesday
49,F3900867,23/01/2024 20:26:04,VOGELTOWN NEW PLYMOUTH DISTRICT,00:00:00,New Plymouth,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)",Tuesday
50,F3900873,23/01/2024 21:11:12,PARAPARAUMU BEACH KAPITI COAST DISTRICT,00:00:00,Paraparaumu,1500: MISCELLANEOUS FIRE (MIN),Tuesday
51,F3900880,23/01/2024 21:19:33,DURIE HILL WHANGANUI DISTRICT,00:08:54,Whanganui,7100: FALSE ALARM (SPRNKLR),Tuesday
52,F3900881,23/01/2024 21:23:45,TAWA WELLINGTON CITY,00:40:25,"Tawa, Johnsonville",7100: FALSE ALARM (MIN),Tuesday
53,F3900882,23/01/2024 21:27:47,GONVILLE WHANGANUI DISTRICT,00:17:40,Whanganui,1500: MISCELLANEOUS FIRE (SPRNKLR),Tuesday
54,F3900904,23/01/2024 22:32:01,NEW PLYMOUTH NEW PLYMOUTH DISTRICT,00:07:18,New Plymouth,7100: FALSE ALARM (SPRNKLR),Tuesday
55,F3900913,23/01/2024 22:41:55,WESTOWN NEW PLYMOUTH DISTRICT,00:00:00,New Plymouth,7100: FALSE ALARM (MIN),Tuesday
56,F3900918,23/01/2024 22:51:29,HAVELOCK NORTH HASTINGS DISTRICT,00:00:00,Havelock North,1500: MISCELLANEOUS FIRE (MIN),Tuesday
57,F3900921,23/01/2024 23:09:18,NEWTOWN WELLINGTON CITY,00:00:00,Newtown,7100: FALSE ALARM (MIN),Tuesday
58,F3900924,23/01/2024 23:26:21,AORANGI MANAWATU DISTRICT,00:00:00,Feilding,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN),Tuesday
0,F3899647,22/01/2024 00:31:05,PIRIMAI NAPIER CITY,05:30:55,"Napier, Napier OSU","3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCRESC)",Monday
1,F3899651,22/01/2024 00:35:15,KHANDALLAH WELLINGTON CITY,00:00:00,Johnsonville,7100: FALSE ALARM (MIN),Monday
2,F3899655,22/01/2024 01:06:06,WAINUIOMATA LOWER HUTT CITY,00:00:00,Wainuiomata,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)",Monday
3,F3899660,22/01/2024 02:01:10,TRENTHAM UPPER HUTT CITY,00:14:26,"Trentham, Remutaka",7100: FALSE ALARM (STRU),Monday
4,F3899662,22/01/2024 02:16:25,WOBURN LOWER HUTT CITY,00:15:48,"Seaview, Avalon",7100: FALSE ALARM (STRU),Monday
5,F3899672,22/01/2024 02:50:49,PIPITEA WELLINGTON CITY,00:08:40,"Thorndon, Wellington City",7100: FALSE ALARM (STRU),Monday
6,F3899675,22/01/2024 03:12:04,MARTINBOROUGH SOUTH WAIRARAPA DISTRICT,00:00:00,Martinborough,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MEDFR)",Monday
7,F3899679,22/01/2024 03:33:03,CASTLECLIFF WHANGANUI DISTRICT,04:02:38,Whanganui,1100: STRUCTURE FIRE (STRU),Monday
8,F3899681,22/01/2024 03:51:02,MASTERTON MASTERTON DISTRICT,00:00:00,Masterton,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MIN)",Monday
9,F3899685,22/01/2024 04:17:53,TAITA LOWER HUTT CITY,00:00:00,Avalon,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)",Monday
10,F3899695,22/01/2024 05:09:37,PARAPARAUMU KAPITI COAST DISTRICT,00:00:00,Paraparaumu,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MED)",Monday
11,F3899701,22/01/2024 05:41:10,NAENAE LOWER HUTT CITY,00:12:58,Avalon,7100: FALSE ALARM (STRU),Monday
12,F3899706,22/01/2024 05:55:29,TAWA WELLINGTON CITY,00:00:00,Tawa,7100: FALSE ALARM (MIN),Monday
13,F3899711,22/01/2024 06:41:25,STRATHMORE PARK WELLINGTON CITY,00:00:00,"Kilbirnie, Newtown",7100: FALSE ALARM (STRU),Monday
14,F3899719,22/01/2024 07:18:35,WOBURN LOWER HUTT CITY,00:17:46,"Seaview, Avalon, Thorndon",7100: FALSE ALARM (STRU),Monday
15,F3899747,22/01/2024 08:12:00,FRIMLEY HASTINGS DISTRICT,00:00:00,Hastings,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (STRU),Monday
16,F3899768,22/01/2024 08:46:40,ONEKAWA NAPIER CITY,00:12:55,Napier,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCHEVY)",Monday
17,F3899771,22/01/2024 08:49:52,ONGARUE RUAPEHU DISTRICT,00:52:40,Taumarunui,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (NAT2),Monday
18,F3899784,22/01/2024 09:17:53,FOXTON HOROWHENUA DISTRICT,00:00:00,Foxton,1500: MISCELLANEOUS FIRE (MIN),Monday
19,F3899841,22/01/2024 10:31:27,PAREMATA PORIRUA CITY,00:00:00,Porirua,1500: MISCELLANEOUS FIRE (MIN),Monday
20,F3899847,22/01/2024 10:37:03,TRENTHAM UPPER HUTT CITY,00:12:46,"Remutaka, Trentham",7100: FALSE ALARM (SPRNKLR),Monday
21,F3899887,22/01/2024 11:18:48,OKAIAWA SOUTH TARANAKI DISTRICT,00:00:00,Okaiawa,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MVCRESC)",Monday
22,F3899888,22/01/2024 11:14:47,CAMBERLEY HASTINGS DISTRICT,00:00:00,Hastings,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN),Monday
23,F3899926,22/01/2024 12:27:22,MARTINBOROUGH SOUTH WAIRARAPA DISTRICT,00:00:00,Martinborough,"3100: RESCUE,EMERGENCY,MEDICAL CALL (MEDFR)",Monday
24,F3899930,22/01/2024 12:31:36,CAMBERLEY HASTINGS DISTRICT,00:10:49,Hastings,7100: FALSE ALARM (STRU),Monday
25,F3899931,22/01/2024 12:32:13,OTAKI KAPITI COAST DISTRICT,00:48:52,Otaki,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN),Monday
26,F3899936,22/01/2024 12:39:58,WAINUIOMATA LOWER HUTT CITY,00:00:00,Wainuiomata,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN),Monday
27,F3899940,22/01/2024 12:47:21,KARORI WELLINGTON CITY,00:00:00,Karori,1500: MISCELLANEOUS FIRE (MIN),Monday
28,F3899948,22/01/2024 12:57:29,WHITBY PORIRUA CITY,00:17:47,Porirua,7100: FALSE ALARM (MIN),Monday
29,F3899999,22/01/2024 14:19:16,MIRAMAR WELLINGTON CITY,00:09:45,"Kilbirnie, Newtown",7100: FALSE ALARM (STRU),Monday
30,F3900011,22/01/2024 14:34:41,TITAHI BAY PORIRUA CITY,00:11:34,Porirua,7100: FALSE ALARM (MIN),Monday
31,F3900014,22/01/2024 14:40:58,MILSON PALMERSTON NORTH CITY,00:00:00,Milson,9900: NON-FIRE EVENT: EXCL RESCUE/FALSE ALARM (MIN),Monday
